zip5,po_name,primary_ruca,secondary_ruca,ruca_category
32229,Jacksonville,1,1,urban
32231,Jacksonville,1,1,urban
32232,Jacksonville,1,1,urban
32233,Atlantic Beach,1,1,urban
32234,Jacksonville,2,2,urban
32235,Jacksonville,1,1,urban
32236,Jacksonville,1,1,urban
32238,Jacksonville,1,1,urban
32239,Jacksonville,1,1,urban
32240,Jacksonville Beach,1,1,urban
32241,Jacksonville,1,1,urban
32244,Jacksonville,1,1,urban
32245,Jacksonville,1,1,urban
32246,Jacksonville,1,1,urban
32247,Jacksonville,1,1,urban
32250,Jacksonville Beach,1,1,urban
32254,Jacksonville,1,1,urban
32255,Jacksonville,1,1,urban
32256,Jacksonville,1,1,urban
32257,Jacksonville,1,1,urban
32258,Jacksonville,1,1,urban
32259,Saint Johns,1,1,urban
32260,Jacksonville,1,1,urban
32266,Neptune Beach,1,1,urban
32277,Jacksonville,1,1,urban
32301,Tallahassee,1,1,urban
32302,Tallahassee,1,1,urban
32303,Tallahassee,1,1,urban
32304,Tallahassee,1,1,urban
32305,Tallahassee,1,1,urban
32306,Tallahassee,1,1,urban
32307,Tallahassee,1,1,urban
32308,Tallahassee,1,1,urban
32309,Tallahassee,1,1,urban
32310,Tallahassee,1,1,urban
32311,Tallahassee,1,1,urban
32312,Tallahassee,1,1,urban
32313,Tallahassee,1,1,urban
32314,Tallahassee,1,1,urban
32315,Tallahassee,1,1,urban
32316,Tallahassee,1,1,urban
32317,Tallahassee,1,1,urban
32318,Tallahassee,1,1,urban
32320,Apalachicola,10,10,ultra_rural
32321,Bristol,10,10,ultra_rural
32322,Carrabelle,10,10,ultra_rural
32323,Lanark Village,10,10,ultra_rural
32324,Chattahoochee,10,10,ultra_rural
32326,Crawfordville,2,2,urban
32327,Crawfordville,2,2,urban
32328,Eastpoint,10,10,ultra_rural
32329,Apalachicola,10,10,ultra_rural
32330,Greensboro,3,3,urban
32331,Greenville,10,10,ultra_rural
32332,Gretna,2,2,urban
32333,Havana,2,2,urban
32334,Hosford,2,2,urban
32335,Sumatra,3,3,urban
32336,Lamont,2,2,urban
32337,Lloyd,2,2,urban
32340,Madison,10,10,ultra_rural
32341,Madison,10,10,ultra_rural
32343,Midway,2,2,urban
32344,Monticello,2,2,urban
32345,Monticello,2,2,urban
32346,Panacea,3,3,urban
32347,Perry,10,10,ultra_rural
32348,Perry,7,7,rural
32350,Pinetta,3,3,urban
32351,Quincy,2,2,urban
32352,Quincy,2,2,urban
32353,Quincy,2,2,urban
32355,Saint Marks,2,2,urban
32356,Salem,10,10,ultra_rural
32357,Shady Grove,10,10,ultra_rural
32358,Sopchoppy,3,3,urban
32359,Steinhatchee,10,10,ultra_rural
32360,Telogia,2,2,urban
32361,Wacissa,2,2,urban
32362,Woodville,2,2,urban
32399,Tallahassee,1,1,urban
32401,Panama City,1,1,urban
32402,Panama City,1,1,urban
32403,Panama City,10,10,ultra_rural
32404,Panama City,1,1,urban
32405,Panama City,1,1,urban
32406,Panama City,1,1,urban
32407,Panama City Beach,1,1,urban
32408,Panama City,1,1,urban
32409,Panama City,1,1,urban
32410,Mexico Beach,2,2,urban
32411,Panama City,1,1,urban
32412,Panama City,1,1,urban
32413,Panama City Beach,1,1,urban
32417,Panama City,1,1,urban
32420,Alford,9,9,rural
32421,Altha,10,10,ultra_rural
32422,Argyle,2,2,urban
32423,Bascom,9,9,rural
32424,Blountstown,10,10,ultra_rural
32425,Bonifay,10,10,ultra_rural
32426,Campbellton,3,3,urban
32427,Caryville,3,3,urban
32428,Chipley,2,2,urban
32430,Clarksville,3,3,urban
32431,Cottondale,10,10,ultra_rural
32432,Cypress,10,10,ultra_rural
32433,Defuniak Springs,2,2,urban
32434,Mossy Head,3,3,urban
32435,Defuniak Springs,9,9,rural
32437,Ebro,2,2,urban
32438,Fountain,2,2,urban
32439,Freeport,2,2,urban
32440,Graceville,10,10,ultra_rural
32442,Grand Ridge,10,10,ultra_rural
32443,Greenwood,10,10,ultra_rural
32444,Lynn Haven,1,1,urban
32445,Malone,9,9,rural
32446,Marianna,8,8,rural
32447,Marianna,7,7,rural
32448,Marianna,7,7,rural
32449,Wewahitchka,3,3,urban
32452,Noma,10,10,ultra_rural
32455,Ponce de Leon,10,10,ultra_rural
32456,Port Saint Joe,10,10,ultra_rural
